system   D            wsystem.c:583  maybe_parent_dir                 [   0.00123] Also searching C:\Users\Connor\Documents\BaseGame-4\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90043] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90045] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.90046] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.90048] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.90050] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.90051] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.90078] added dtor for object 077DA9C0, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.90118] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.90121] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90485] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90496] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90498] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90500] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90502] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90503] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90505] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90506] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90508] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.90509] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.90510] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.90512] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.90514] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.90539] added dtor for object 077F98F0, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.90573] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.90575] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90855] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90857] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90859] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90860] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90861] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90862] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90864] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90865] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90866] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.90867] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.90868] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.90870] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.90871] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.90895] added dtor for object 07810420, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.90924] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.90927] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91042] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91045] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91047] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91048] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91049] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91050] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91051] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91052] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.91054] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.91055] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.91056] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.91057] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.91071] added dtor for object 0782C378, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.91078] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.91080] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91222] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91226] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91228] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91229] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91231] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91233] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91234] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91236] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.91238] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.91240] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.91241] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.91244] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.91246] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.91323] added dtor for object 0782C230, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.91386] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.91389] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.91644] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.91649] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.91687] _al_d3d_sync_bitmap (system) ref count == 1
